id,idx
01001_AM,1
01002,2
01010_AM,3
01031_AM,4
01036,5
01043_AM,6
01047_AM,7
01051,8
01058_AM,9
0105901,10
0105902,11
0105903,12
0105904,13
0105905,14
0105906,15
01063_AM,16
01901_AM,17
0200301,18
0200302,19
0200303,20
0200304,21
0200305,22
0200306,23
0200307,24
0200308,25
02008_AM,26
02009,27
02010_AM,28
02012_AM,29
02021_AM,30
02024_AM,31
02025,32
02029_AM,33
02030_AM,34
02033_AM,35
02037,36
02045_AM,37
02053_AM,38
02063_AM,39
02067_AM,40
02069_AM,41
02073_AM,42
02074,43
02079_AM,44
02081,45
02086_AM,46
03002_AM,47
03005_AM,48
0300901,49
0300902,50
0300903,51
0300904,52
0300905,53
0300906,54
0300907,55
0300908,56
03011,57
0301401,58
0301402,59
0301403,60
0301404,61
0301405,62
0301406,63
0301407,64
0301408,65
03015,66
03018,67
03019,68
03021,69
03024,70
03026_AM,71
03028_AM,72
0303101,73
0303102,74
0303103,75
0303104,76
03035_AM,77
03041,78
03043_AM,79
03044_AM,80
03046_AM,81
03047,82
03048,83
03049,84
03050,85
03053,86
03055,87
03056,88
03058_AM,89
03059,90
03063,91
03064,92
0306501,93
0306502,94
0306503,95
0306504,96
0306505,97
0306506,98
0306507,99
0306601,100
0306602_AD,101
0306604,102
0306605,103
03069,104
03070_AM,105
03071,106
03076,107
03077_AM,108
03079,109
03081_AM,110
03082,111
03083,112
03088,113
03089,114
03090,115
03092_AM,116
03093,117
03094,118
03095,119
03096,120
03097_AM,121
0309901,122
0309902,123
0309903,124
0309904,125
0309905,126
0309906,127
0309907,128
0309908,129
03101,130
03102,131
03104,132
03105,133
03107,134
03109,135
03111,136
03113,137
03118,138
03119,139
03120,140
03121,141
0312201,142
0312202,143
0312203,144
03123_AM,145
03128_AM,146
0313301,147
0313302,148
0313303,149
03138_AM,150
03139,151
03140,152
03902,153
03903_AM,154
04003,155
04006,156
04011_AM,157
0401301_AD,158
0401303,159
0401304,160
0401305,161
0401306,162
0401307,163
0401308,164
04016_AM,165
04017_AM,166
04024_AM,167
04029,168
04031_AM,169
04032,170
04035,171
04038_AM,172
04045_AM,173
04047_AM,174
04049,175
04050_AM,176
04052,177
04053,178
04057_AM,179
04062_AM,180
04064,181
04066,182
04069,183
04070_AM,184
04075,185
0407901,186
0407902,187
04088_AM,188
04092_AM,189
04093_AM,190
04098_AM,191
04099,192
04100,193
04101,194
04102,195
0490201,196
04903,197
05002_AM,198
05014_AM,199
05016,200
0501901_AD,201
0501904,202
0501905,203
0501906,204
05021_AM,205
05047,206
05054_AM,207
05057_AM,208
05114_AM,209
05132_AM,210
05163_AM,211
05168_AM,212
05186_AM,213
05204_AM,214
05220_AM,215
05238_AM,216
05240_AM,217
05241_AM,218
05242_AM,219
06002,220
06005_AM,221
06006,222
06011,223
06012_AM,224
06014_AM,225
0601501,226
0601502,227
0601503,228
0601504,229
0601505,230
0601506,231
0601507,232
0601508,233
0601509,234
0601510,235
06016_AM,236
06019_AM,237
06022_AM,238
06023_AM,239
06025,240
06028_AM,241
06036_AM,242
06044_AM,243
06050_AM,244
06052_AM,245
06054,246
06055_AM,247
06060_AM,248
06063_AM,249
06066_AM,250
06069_AM,251
06070_AM,252
06072_AM,253
06074_AM,254
0608301,255
0608302_AD,256
0608303,257
0608304,258
0608306,259
06085_AM,260
06088_AM,261
06091_AM,262
06093_AM,263
06094_AM,264
06095_AM,265
06103,266
06108_AM,267
06109_AM,268
06113_AM,269
06117_AM,270
06120_AM,271
06121_AM,272
06122,273
06123_AM,274
06125_AM,275
06127_AM,276
06128_AM,277
06149,278
06153,279
06154_AM,280
06155_AM,281
06158,282
06162_AM,283
07001,284
07002,285
07003,286
07004,287
07005,288
07006,289
07008,290
07010,291
07011,292
07012_AM,293
07013,294
07014,295
07015,296
07016,297
07020,298
07022,299
07023_AM,300
07024,301
07026,302
07027,303
07029,304
07030_AM,305
07031,306
07032,307
07033,308
07036,309
07037,310
07038_AM,311
07039,312
0704001,313
0704002,314
0704003,315
0704004,316
0704005,317
07042,318
07043,319
07044,320
07045_AM,321
07046,322
07047_AM,323
07048,324
07050,325
07051,326
07052,327
07054,328
07055,329
07056,330
07057,331
07058_AM,332
07059,333
07060_AM,334
07061,335
07062,336
07064,337
07065_AM,338
08001,339
08003,340
08005,341
08006,342
08007,343
08009,344
08010_AM,345
08014_AM,346
0801501,347
0801502,348
0801503,349
0801504,350
0801505,351
0801506,352
0801507,353
0801508,354
0801509,355
08016_AM,356
08017_AM,357
08018_AM,358
0801901,359
0801902,360
0801903,361
0801904,362
0801905,363
0801906,364
0801907,365
0801908,366
0801909,367
0801910,368
08020,369
08022,370
08023,371
08029,372
08030,373
08031_AM,374
08033,375
08035,376
08037_AM,377
08040,378
08041,379
08043_AM,380
08044_AM,381
08046,382
08047_AM,383
08051_AM,384
08053_AM,385
08054,386
0805601,387
0805602,388
0805603,389
0805604,390
0805605,391
08064_AM,392
08067,393
08068_AM,394
08069,395
08072,396
0807301,397
0807302,398
0807303,399
0807304,400
0807305,401
0807306,402
08074,403
08075,404
08076,405
08077,406
08085_AM,407
08086,408
08088,409
08089,410
08091_AM,411
08092_AM,412
08094_AM,413
0809601,414
0809602,415
0809603,416
0809604,417
08098_AM,418
08100_AM,419
0810101,420
0810102,421
0810103,422
0810104,423
0810105,424
0810106,425
08102,426
08105,427
08106,428
08107,429
08108,430
08110,431
08112,432
0811301_AD,433
0811302,434
0811304,435
0811305,436
08114,437
08115_AM,438
08118,439
08119,440
08120,441
0812101,442
0812102,443
0812103,444
0812104,445
0812105,446
0812106,447
08122_AM,448
08123,449
0812401,450
0812402,451
0812403,452
08125,453
08126,454
08135,455
08136,456
08138,457
08140,458
08141,459
08143_AM,460
08145_AM,461
08147,462
08155_AM,463
08156,464
08157,465
08158,466
08159,467
08161,468
08162_AM,469
08163,470
08167,471
0816901,472
0816902,473
0816903,474
0816904,475
0816905,476
08171_AM,477
08172,478
08175_AM,479
08180,480
08181,481
08182,482
08183,483
0818401,484
0818402,485
0818403,486
0818404,487
0818701,488
0818702,489
0818703,490
0818704,491
0818705,492
0818706,493
0818707,494
08191,495
08192,496
08194,497
08196,498
08197,499
08198,500
0820001,501
0820002,502
0820003,503
0820004,504
0820005,505
0820006,506
08202,507
08203_AM,508
08204,509
0820501,510
0820502,511
0820503,512
0820504_AD,513
0820505,514
08208_AM,515
08209,516
08210,517
08211,518
08213,519
08214,520
08215_AM,521
08217,522
08218_AM,523
08219,524
08220_AM,525
08221,526
